Store,rows,sales_sum,wape,bias,err_std,TAE,RMSE,MAPE,abs_err_sum,sq_err_sum,abs_pct_err_sum,nonzero_n
587,54,507871.0,0.49319807588934983,-222.6851851851852,6886.256059137124,12025.0,6889.855673648302,0.30469343429188883,250481.0,2563386005.0,14.320591411718775,47
588,54,298553.0,0.44061858363506645,-152.88888888888889,3563.459267427829,8256.0,3566.7375797727204,0.3099086721517795,131548.0,686967316.0,14.565707591133634,47
589,54,240876.0,0.4308980554310102,-148.16666666666666,2923.2300675413453,8001.0,2926.982642396242,0.3495318359299852,103793.0,462630279.0,16.427996288709306,47
590,54,247641.0,0.47240965752843833,-134.25925925925927,3256.9961461057333,7250.0,3259.7621760558613,0.2847193572149695,116988.0,573806670.0,13.381809789103567,47
591,54,275126.0,0.4444654449234169,-159.25925925925927,3257.0906307975347,8600.0,3260.98189030373,0.32544336393595485,122284.0,574236156.0,15.295838104989878,47
592,54,203631.0,0.442545584906031,-96.77777777777777,2374.7218602565326,5226.0,2376.6930495652678,0.3694317639620993,90116.0,305028172.0,17.363292906218668,47
593,54,450727.0,0.451335287213768,-209.87037037037038,5350.617403095392,11333.0,5354.731754874997,0.3215646850313467,203429.0,1548350217.0,15.113540196473295,47
594,54,203444.0,0.4376339434930497,-97.92592592592592,2390.2253330305866,5288.0,2392.230471679021,0.35862370794573994,89034.0,309029398.0,16.85531427344978,47
595,54,681499.0,0.41796392951420325,-346.1111111111111,8276.576675723836,18690.0,8283.810377499618,0.2565100861350305,284842.0,3705561776.0,12.055974048346435,47
596,54,228942.0,0.42089262782713527,-116.07407407407408,2767.3479606391697,6268.0,2769.781205425065,0.26147570000705894,96360.0,414271148.0,12.289357900331769,47
597,54,244621.0,0.4027699993050474,-129.44444444444446,2897.862537103963,6990.0,2900.7521693774784,0.25052999048053337,98526.0,454375610.0,11.774909552585068,47
598,54,269789.0,0.41734466564611605,-123.61111111111111,3321.700788232319,6675.0,3323.9999749298036,0.247136391382269,112595.0,596644695.0,11.615410394966643,47
599,54,460472.0,0.4623060685557428,-211.42592592592592,6029.765843994435,11417.0,6033.471393448017,0.27480735085328845,212879.0,1965749961.0,12.915945490104557,47
600,54,348363.0,0.4270401850942838,-229.2037037037037,4206.1884451701135,12377.0,4212.428702550831,0.27356819003063637,148765.0,958206001.0,12.857704931439908,47
601,54,228816.0,0.4758102580239144,-113.94444444444444,2965.746676431659,6153.0,2967.9347508301435,0.30464809040727153,108873.0,475666381.0,14.318460249141763,47
602,54,300934.0,0.40550087394578216,-142.61111111111111,3528.4950753704584,7701.0,3531.375854525531,0.2740014582950028,122029.0,673413233.0,12.878068539865131,47
603,54,339816.0,0.3999576241259976,-174.66666666666666,4020.556175824803,9432.0,4024.348445078707,0.2664590633697189,135912.0,874550542.0,12.523575978376789,47
604,54,330521.0,0.455650321764729,-155.96296296296296,4209.224226769209,8422.0,4212.1126572109915,0.29406225872440345,150602.0,958062224.0,13.820926160046962,47
605,54,350288.0,0.44846240807564064,-184.61111111111111,4482.964790373486,9969.0,4486.764376928442,0.2837799180746878,157091.0,1087076947.0,13.337656149510327,47
606,54,266271.0,0.4265090828516812,-133.09259259259258,3135.5039246980673,7187.0,3138.327341116602,0.29795561391638725,113567.0,531851319.0,14.003913854070202,47
607,54,171715.0,0.46809539061817546,-102.87037037037037,2318.9553446764703,5555.0,2321.2359215951537,0.6067251518403421,80379.0,290959355.0,28.51608213649608,47
608,54,448410.0,0.4374434111638902,-232.4814814814815,5539.115916691576,12554.0,5543.992494383247,0.3947945622901942,196154.0,1659736050.0,18.555344427639128,47
609,54,224304.0,0.4418735287823668,-109.18518518518519,2680.63921394433,5896.0,2682.8619047576785,0.341235852871477,99114.0,388678392.0,16.03808508495942,47
610,54,191657.0,0.43523064641521053,-77.94444444444444,2418.6249951747277,4209.0,2419.8806176552807,0.30142926591549274,83415.0,316214399.0,14.167175498028158,47
611,54,282641.0,0.42506925746795404,-123.81481481481481,3488.439044287064,6686.0,3490.6356260821717,0.2588930536216583,120142.0,657965002.0,12.16797352021794,47
612,54,303859.0,0.49253436626856534,-151.12962962962962,4228.132509777005,8161.0,4230.832623158849,0.3247218951917948,149661.0,966597013.0,15.261929074014356,47
613,54,284628.0,0.4183003780372978,-125.51851851851852,3543.537339902981,6778.0,3545.7596897953727,0.24963465398106785,119060.0,678910236.0,11.73282873711019,47
614,54,305700.0,0.40409551848217207,-142.55555555555554,3484.7476324302734,7698.0,3487.6622755290036,0.276658475563903,123532.0,656844560.0,13.00294835150344,47
615,54,432322.0,0.40399054408519575,-194.8148148148148,5269.163754279244,10520.0,5272.763931893925,0.24454833435073584,174654.0,1501310132.0,11.493771714484584,47
616,54,383327.0,0.4088102325168851,-218.25925925925927,4437.175545510176,11786.0,4442.540255971343,0.29367441846767683,156708.0,1065752852.0,13.802697667980812,47
617,54,307945.0,0.4582798876422738,-152.94444444444446,3818.059641079419,8259.0,3821.1217496863305,0.4228062807926326,141125.0,788452457.0,19.871895197253732,47
618,54,351989.0,0.4525113000690362,-174.0185185185185,4565.081746421297,9397.0,4568.397289673512,0.2717288917567314,159279.0,1126993705.0,12.771257912566378,47
